Name,Species,Origin,Location,Sex,Age
St. Croix II,African Penguin,Southern Africa,New England Aquarium,M,20
Dassen IV,African Penguin,Southern Africa,New England Aquarium,M,10
Chrysanthi,African Penguin,Southern Africa,New England Aquarium,F,4
DeHoop,African Penguin,Southern Africa,New England Aquarium,F,11
Dyer III,African Penguin,Southern Africa,New England Aquarium,M,11
Aewa,African Penguin,Southern Africa,New England Aquarium,F,12
Pinguino II,Southern Rockhopper Penguin,Circumpolar distribution,New England Aquarium,F,14
Terhalten,Southern Rockhopper Penguin,Circumpolar distribution,New England Aquarium,F,5
Bacon,Macaroni Penguin,Antarctica,Tennessee Aquarium,F,8
Scooter,Gentoo Penguin,Subantarctic islands,Tennessee Aquarium,F,8
Roxie,Gentoo Penguin,Subantarctic islands,Tennessee Aquarium,F,8
Bobber,Gentoo Penguin,Subantarctic islands,Tennessee Aquarium,F,8
Amigo,African Penguin,Southern Africa,Monterey Bay Aquarium,M,7
Bee,African Penguin,Southern Africa,Monterey Bay Aquarium,F,24
Boulders,African Penguin,Southern Africa,Monterey Bay Aquarium,M,29
Durban,African Penguin,Southern Africa,Monterey Bay Aquarium,M,31
Messina,African Penguin,Southern Africa,Monterey Bay Aquarium,F,14
Odin,King Penguin,Subantarctic islands,SEA LIFE Melbourne,M,1
Egg,King Penguin,Subantarctic islands,SEA LIFE Melbourne,F,17
KT,Gentoo Penguin,Subantarctic islands,SEA LIFE Melbourne,F,15
Harrison,Gentoo Penguin,Subantarctic islands,SEA LIFE Melbourne,M,7
Barrel,Gentoo Penguin,Subantarctic islands,SEA LIFE Melbourne,M,2
Harry,Magellanic Penguin,South America,San Francisco Zoo,M,1
Cecilia,Magellanic Penguin,South America,San Francisco Zoo,F,1
Agua,Magellanic Penguin,South America,San Francisco Zoo,M,1
Alberto,Humboldt Penguin,Humboldt Current,Rosamond Gifford Zoo,M,11
Opal,Humboldt Penguin,Humboldt Current,Rosamond Gifford Zoo,F,2
Peru,Humboldt Penguin,Humboldt Current,Rosamond Gifford Zoo,M,4
Lima,Humboldt Penguin,Humboldt Current,Rosamond Gifford Zoo,M,4
Sir Nils Olav III,King Penguin,Subantarctic islands,Edinburgh Zoo,M,7
Roy,Chinstrap Penguin,Antarctica,NYC Central Park Zoo,M,18
Silo,Chinstrap Penguin,Antarctica,NYC Central Park Zoo,M,18
